Gene,Program_Dataset
MT1M,16_Lambrechts_2018_health
MT1A,16_Lambrechts_2018_health
TIMP3,16_Lambrechts_2018_health
LYVE1,16_Lambrechts_2018_health
CYTL1,16_Lambrechts_2018_health
MGP,16_Lambrechts_2018_health
CPE,16_Lambrechts_2018_health
SPARCL1,16_Lambrechts_2018_health
SDPR,16_Lambrechts_2018_health
CLU,16_Lambrechts_2018_health
CALD1,16_Lambrechts_2018_health
PLK2,16_Lambrechts_2018_health
SNAI1,16_Lambrechts_2018_health
ABCG2,16_Lambrechts_2018_health
CRIP2,16_Lambrechts_2018_health
FLT1,16_Lambrechts_2018_health
HEY1,16_Lambrechts_2018_health
WWTR1,16_Lambrechts_2018_health
TPD52L1,16_Lambrechts_2018_health
ID1,16_Lambrechts_2018_health
USP18,16_Lambrechts_2018_health
ADIRF,16_Lambrechts_2018_health
IGFBP7,16_Lambrechts_2018_health
EGFL7,16_Lambrechts_2018_health
S100A16,16_Lambrechts_2018_health
GPR82,16_Lambrechts_2018_health
LIMS2,16_Lambrechts_2018_health
CLDN5,16_Lambrechts_2018_health
DHDH,16_Lambrechts_2018_health
SYNE2,16_Lambrechts_2018_health
CAV1,16_Lambrechts_2018_health
FAM43A,16_Lambrechts_2018_health
ANKRD29,16_Lambrechts_2018_health
FGFR1,16_Lambrechts_2018_health
CALCRL,16_Lambrechts_2018_health
TM4SF1,16_Lambrechts_2018_health
LMCD1,16_Lambrechts_2018_health
SRPX,16_Lambrechts_2018_health
FBLN5,16_Lambrechts_2018_health
PRSS23,16_Lambrechts_2018_health
IL1R1,16_Lambrechts_2018_health
GIMAP5,16_Lambrechts_2018_health
DIXDC1,16_Lambrechts_2018_health
FZD4,16_Lambrechts_2018_health
CA4,16_Lambrechts_2018_health
S1PR1,16_Lambrechts_2018_health
NRN1,16_Lambrechts_2018_health
EPAS1,16_Lambrechts_2018_health
NPDC1,16_Lambrechts_2018_health
VWF,16_Lambrechts_2018_health
ITGA6,16_Lambrechts_2018_health
LTK,16_Lambrechts_2018_health
C8orf4,16_Lambrechts_2018_health
FCN3,16_Lambrechts_2018_health
EMCN,16_Lambrechts_2018_health
COL4A1,16_Lambrechts_2018_health
SMAD6,16_Lambrechts_2018_health
TMEM100,16_Lambrechts_2018_health
AQP1,16_Lambrechts_2018_health
TXLNB,16_Lambrechts_2018_health
FNBP1L,16_Lambrechts_2018_health
ANGPTL1,16_Lambrechts_2018_health
RGS5,16_Lambrechts_2018_health
PTPRB,16_Lambrechts_2018_health
TINAGL1,16_Lambrechts_2018_health
MAOA,16_Lambrechts_2018_health
ADAMTS9,16_Lambrechts_2018_health
PALMD,16_Lambrechts_2018_health
TIE1,16_Lambrechts_2018_health
ZNF675,16_Lambrechts_2018_health
SETBP1,16_Lambrechts_2018_health
COL8A1,16_Lambrechts_2018_health
HECW2,16_Lambrechts_2018_health
S100A12,17_Lambrechts_2018_health
CCL20,17_Lambrechts_2018_health
CXCL1,17_Lambrechts_2018_health
CXCL8,17_Lambrechts_2018_health
SERPINB2,17_Lambrechts_2018_health
IL1B,17_Lambrechts_2018_health
AREG,17_Lambrechts_2018_health
S100A8,17_Lambrechts_2018_health
FCN1,17_Lambrechts_2018_health
TIMP1,17_Lambrechts_2018_health
CD36,17_Lambrechts_2018_health
PTX3,17_Lambrechts_2018_health
CXCL2,17_Lambrechts_2018_health
S100A9,17_Lambrechts_2018_health
EGR1,17_Lambrechts_2018_health
S100P,17_Lambrechts_2018_health
EREG,17_Lambrechts_2018_health
CYP1B1,17_Lambrechts_2018_health
VCAN,17_Lambrechts_2018_health
IER3,17_Lambrechts_2018_health
ADM,17_Lambrechts_2018_health
CD14,17_Lambrechts_2018_health
CD300E,17_Lambrechts_2018_health
PTGS2,17_Lambrechts_2018_health
THBS1,17_Lambrechts_2018_health
SELL,17_Lambrechts_2018_health
GPAT3,17_Lambrechts_2018_health
NLRP3,17_Lambrechts_2018_health
NRG1,17_Lambrechts_2018_health
RNASE2,17_Lambrechts_2018_health
CLEC4E,17_Lambrechts_2018_health
THBD,17_Lambrechts_2018_health
HCAR3,17_Lambrechts_2018_health
CDA,17_Lambrechts_2018_health
CCL21,17_Lambrechts_2018_health
CD93,17_Lambrechts_2018_health
AZU1,17_Lambrechts_2018_health
VEGFA,17_Lambrechts_2018_health
DUSP6,17_Lambrechts_2018_health
LINC00936,17_Lambrechts_2018_health
CCR2,17_Lambrechts_2018_health
RBP7,17_Lambrechts_2018_health
F3,17_Lambrechts_2018_health
LUCAT1,17_Lambrechts_2018_health
SLC2A3,17_Lambrechts_2018_health
LDLR,17_Lambrechts_2018_health
NRIP3,17_Lambrechts_2018_health
ASGR2,17_Lambrechts_2018_health
MCTP2,17_Lambrechts_2018_health
EHD1,17_Lambrechts_2018_health
SLCO4A1,17_Lambrechts_2018_health
HPSE,17_Lambrechts_2018_health
STEAP4,17_Lambrechts_2018_health
DNAH17,17_Lambrechts_2018_health
PDE4D,17_Lambrechts_2018_health
CLEC4D,17_Lambrechts_2018_health
TFF3,17_Lambrechts_2018_health
MUC1,17_Lambrechts_2018_health
CATSPER1,17_Lambrechts_2018_health
VNN2,17_Lambrechts_2018_health
ASGR1,17_Lambrechts_2018_health
FAM101B,17_Lambrechts_2018_health
VSTM1,17_Lambrechts_2018_health
PLCB1,17_Lambrechts_2018_health
F5,17_Lambrechts_2018_health
CKAP4,17_Lambrechts_2018_health
ENC1,17_Lambrechts_2018_health
NAMPT,17_Lambrechts_2018_health
CMTM2,17_Lambrechts_2018_health
SEMA6B,17_Lambrechts_2018_health
NKX3-1,17_Lambrechts_2018_health
SULT1B1,17_Lambrechts_2018_health
NKAPL,17_Lambrechts_2018_health
TRIM25,17_Lambrechts_2018_health
LTB4R,17_Lambrechts_2018_health
SLC2A14,17_Lambrechts_2018_health
ARL5B,17_Lambrechts_2018_health
KCNJ15,17_Lambrechts_2018_health
CLEC6A,17_Lambrechts_2018_health
NT5DC2,17_Lambrechts_2018_health
NAIP,17_Lambrechts_2018_health
PGAP1,17_Lambrechts_2018_health
CDH26,17_Lambrechts_2018_health
NFE2,17_Lambrechts_2018_health
HIST2H2BF,17_Lambrechts_2018_health
ATP13A3,17_Lambrechts_2018_health
RBKS,17_Lambrechts_2018_health
LINC00694,17_Lambrechts_2018_health
PDE6H,17_Lambrechts_2018_health
IL1R2,18_Lambrechts_2018_health
IFIT2,18_Lambrechts_2018_health
OSM,18_Lambrechts_2018_health
HBA1,18_Lambrechts_2018_health
MIR3945HG,18_Lambrechts_2018_health
CIR1,18_Lambrechts_2018_health
TNFSF14,18_Lambrechts_2018_health
ZFAND2A,18_Lambrechts_2018_health
FPR2,18_Lambrechts_2018_health
LRG1,18_Lambrechts_2018_health
C1orf56,18_Lambrechts_2018_health
HTRA4,18_Lambrechts_2018_health
ENTPD1,18_Lambrechts_2018_health
TUBA4A,18_Lambrechts_2018_health
GZMH,18_Lambrechts_2018_health
CREB5,18_Lambrechts_2018_health
ADGRE3,18_Lambrechts_2018_health
MFGE8,18_Lambrechts_2018_health
MIR4435-2HG,18_Lambrechts_2018_health
NOV,18_Lambrechts_2018_health
MXD1,18_Lambrechts_2018_health
SLC25A37,18_Lambrechts_2018_health
CD300A,18_Lambrechts_2018_health
B4GALT1,18_Lambrechts_2018_health
SEMA4A,18_Lambrechts_2018_health
EIF1AY,18_Lambrechts_2018_health
SECTM1,18_Lambrechts_2018_health
RGS18,18_Lambrechts_2018_health
S1PR4,18_Lambrechts_2018_health
IDI1,18_Lambrechts_2018_health
TPST1,18_Lambrechts_2018_health
LMNB1,18_Lambrechts_2018_health
CCPG1,18_Lambrechts_2018_health
AQP9,18_Lambrechts_2018_health
DDX58,18_Lambrechts_2018_health
TMEM154,18_Lambrechts_2018_health
FPR1,18_Lambrechts_2018_health
PDGFA,18_Lambrechts_2018_health
SAMD9,18_Lambrechts_2018_health
C16orf54,18_Lambrechts_2018_health
SORL1,18_Lambrechts_2018_health
SP110,18_Lambrechts_2018_health
CASP1,18_Lambrechts_2018_health
C12orf57,18_Lambrechts_2018_health
NSRP1,18_Lambrechts_2018_health
CSF3R,18_Lambrechts_2018_health
MFAP4,18_Lambrechts_2018_health
ZBTB8OS,18_Lambrechts_2018_health
CXCL17,18_Lambrechts_2018_health
KIAA1551,18_Lambrechts_2018_health
IL1R2,19_Lambrechts_2018_health
IFIT2,19_Lambrechts_2018_health
OSM,19_Lambrechts_2018_health
HBA1,19_Lambrechts_2018_health
MIR3945HG,19_Lambrechts_2018_health
CIR1,19_Lambrechts_2018_health
TNFSF14,19_Lambrechts_2018_health
ZFAND2A,19_Lambrechts_2018_health
FPR2,19_Lambrechts_2018_health
LRG1,19_Lambrechts_2018_health
C1orf56,19_Lambrechts_2018_health
HTRA4,19_Lambrechts_2018_health
ENTPD1,19_Lambrechts_2018_health
TUBA4A,19_Lambrechts_2018_health
GZMH,19_Lambrechts_2018_health
ITM2A,19_Lambrechts_2018_health
CREB5,19_Lambrechts_2018_health
ADGRE3,19_Lambrechts_2018_health
MFGE8,19_Lambrechts_2018_health
MIR4435-2HG,19_Lambrechts_2018_health
NOV,19_Lambrechts_2018_health
MXD1,19_Lambrechts_2018_health
SLC25A37,19_Lambrechts_2018_health
CD300A,19_Lambrechts_2018_health
CDC42EP2,19_Lambrechts_2018_health
B4GALT1,19_Lambrechts_2018_health
SEMA4A,19_Lambrechts_2018_health
EIF1AY,19_Lambrechts_2018_health
SECTM1,19_Lambrechts_2018_health
RGS18,19_Lambrechts_2018_health
S1PR4,19_Lambrechts_2018_health
IDI1,19_Lambrechts_2018_health
TPST1,19_Lambrechts_2018_health
LMNB1,19_Lambrechts_2018_health
CCPG1,19_Lambrechts_2018_health
AQP9,19_Lambrechts_2018_health
DDX58,19_Lambrechts_2018_health
TMEM154,19_Lambrechts_2018_health
FPR1,19_Lambrechts_2018_health
SAMD9,19_Lambrechts_2018_health
C16orf54,19_Lambrechts_2018_health
SORL1,19_Lambrechts_2018_health
SP110,19_Lambrechts_2018_health
CASP1,19_Lambrechts_2018_health
C12orf57,19_Lambrechts_2018_health
NSRP1,19_Lambrechts_2018_health
CSF3R,19_Lambrechts_2018_health
AGR2,19_Lambrechts_2018_health
ZBTB8OS,19_Lambrechts_2018_health
CXCL17,19_Lambrechts_2018_health
KIAA1551,19_Lambrechts_2018_health
GPRC5C,19_Lambrechts_2018_health
TOP2A,20_Lambrechts_2018_health
KIAA0101,20_Lambrechts_2018_health
MKI67,20_Lambrechts_2018_health
CENPF,20_Lambrechts_2018_health
HIST1H4C,20_Lambrechts_2018_health
TK1,20_Lambrechts_2018_health
RRM2,20_Lambrechts_2018_health
ASPM,20_Lambrechts_2018_health
TPX2,20_Lambrechts_2018_health
TYMS,20_Lambrechts_2018_health
NCAPH,20_Lambrechts_2018_health
CLSPN,20_Lambrechts_2018_health
CDK1,20_Lambrechts_2018_health
HMMR,20_Lambrechts_2018_health
UBE2C,20_Lambrechts_2018_health
PRC1,20_Lambrechts_2018_health
BIRC5,20_Lambrechts_2018_health
SPC25,20_Lambrechts_2018_health
NUSAP1,20_Lambrechts_2018_health
CENPE,20_Lambrechts_2018_health
KIF4A,20_Lambrechts_2018_health
CEP55,20_Lambrechts_2018_health
ZWINT,20_Lambrechts_2018_health
NCAPG,20_Lambrechts_2018_health
ASF1B,20_Lambrechts_2018_health
NUF2,20_Lambrechts_2018_health
DLGAP5,20_Lambrechts_2018_health
FAM111B,20_Lambrechts_2018_health
KIF14,20_Lambrechts_2018_health
HJURP,20_Lambrechts_2018_health
PLK1,20_Lambrechts_2018_health
KIF2C,20_Lambrechts_2018_health
CDC20,20_Lambrechts_2018_health
ANLN,20_Lambrechts_2018_health
CKAP2L,20_Lambrechts_2018_health
TROAP,20_Lambrechts_2018_health
CDT1,20_Lambrechts_2018_health
DTL,20_Lambrechts_2018_health
PKMYT1,20_Lambrechts_2018_health
NDC80,20_Lambrechts_2018_health
MAD2L1,20_Lambrechts_2018_health
MCM10,20_Lambrechts_2018_health
GTSE1,20_Lambrechts_2018_health
CDCA3,20_Lambrechts_2018_health
BUB1B,20_Lambrechts_2018_health
CDC6,20_Lambrechts_2018_health
RAD54L,20_Lambrechts_2018_health
DIAPH3,20_Lambrechts_2018_health
SHCBP1,20_Lambrechts_2018_health
KIF23,20_Lambrechts_2018_health
TCF19,20_Lambrechts_2018_health
IQGAP3,20_Lambrechts_2018_health
CCNE2,20_Lambrechts_2018_health
KIF11,20_Lambrechts_2018_health
CCNB2,20_Lambrechts_2018_health
CDCA8,20_Lambrechts_2018_health
TTK,20_Lambrechts_2018_health
CENPM,20_Lambrechts_2018_health
MND1,20_Lambrechts_2018_health
KIF15,20_Lambrechts_2018_health
MCM2,20_Lambrechts_2018_health
CENPK,20_Lambrechts_2018_health
HIST1H2BH,20_Lambrechts_2018_health
DEPDC1,20_Lambrechts_2018_health
ESCO2,20_Lambrechts_2018_health
UBE2T,20_Lambrechts_2018_health
CCNA2,20_Lambrechts_2018_health
MELK,20_Lambrechts_2018_health
CDCA5,20_Lambrechts_2018_health
CDKN3,20_Lambrechts_2018_health
SKA1,20_Lambrechts_2018_health
BUB1,20_Lambrechts_2018_health
SKA3,20_Lambrechts_2018_health
ARHGAP11A,20_Lambrechts_2018_health
RAD51,20_Lambrechts_2018_health
AURKB,20_Lambrechts_2018_health
CENPA,20_Lambrechts_2018_health
CDCA2,20_Lambrechts_2018_health
SPC24,20_Lambrechts_2018_health
EXO1,20_Lambrechts_2018_health
OIP5,20_Lambrechts_2018_health
CDC25C,20_Lambrechts_2018_health
PBK,20_Lambrechts_2018_health
FOXM1,20_Lambrechts_2018_health
CDC25A,20_Lambrechts_2018_health
E2F8,20_Lambrechts_2018_health
SLFN13,20_Lambrechts_2018_health
E2F2,20_Lambrechts_2018_health
DEPDC1B,20_Lambrechts_2018_health
TRIP13,20_Lambrechts_2018_health
FBXO5,20_Lambrechts_2018_health
POC1A,20_Lambrechts_2018_health
ARHGEF39,20_Lambrechts_2018_health
CXCL10,1_Laughney_2020_disease
CXCL9,1_Laughney_2020_disease
CXCL11,1_Laughney_2020_disease
ADAMDEC1,1_Laughney_2020_disease
CLEC10A,1_Laughney_2020_disease
NNMT,1_Laughney_2020_disease
C1QC,1_Laughney_2020_disease
C1QB,1_Laughney_2020_disease
FAM26F,1_Laughney_2020_disease
TPSB2,1_Laughney_2020_disease
HLA-DQA1,1_Laughney_2020_disease
TMEM176B,1_Laughney_2020_disease
MMP1,1_Laughney_2020_disease
HLA-DQA2,1_Laughney_2020_disease
LGALS3BP,1_Laughney_2020_disease
TMEM176A,1_Laughney_2020_disease
MS4A1,1_Laughney_2020_disease
AKR1B1,1_Laughney_2020_disease
VAMP5,1_Laughney_2020_disease
ANKRD22,1_Laughney_2020_disease
RNASE2,1_Laughney_2020_disease
PLBD1,1_Laughney_2020_disease
HLA-DPA1,1_Laughney_2020_disease
HLA-DRB1,1_Laughney_2020_disease
CAPG,1_Laughney_2020_disease
TSPAN15,1_Laughney_2020_disease
GPR34,1_Laughney_2020_disease
HLA-DMB,1_Laughney_2020_disease
CALR,1_Laughney_2020_disease
HLA-DRA,1_Laughney_2020_disease
TUBB,1_Laughney_2020_disease
SNX2,1_Laughney_2020_disease
PSME2,1_Laughney_2020_disease
XAF1,1_Laughney_2020_disease
GIMAP4,1_Laughney_2020_disease
CD72,1_Laughney_2020_disease
C10orf128,1_Laughney_2020_disease
PFKP,1_Laughney_2020_disease
APIP,1_Laughney_2020_disease
RAB38,1_Laughney_2020_disease
IDH2,1_Laughney_2020_disease
HMGN5,1_Laughney_2020_disease
DHRS4,1_Laughney_2020_disease
DUSP10,1_Laughney_2020_disease
LAP3,1_Laughney_2020_disease
LINC01094,1_Laughney_2020_disease
TFF3,1_Laughney_2020_disease
APOL2,1_Laughney_2020_disease
RENBP,1_Laughney_2020_disease
GBP7,1_Laughney_2020_disease
SDSL,1_Laughney_2020_disease
SPNS3,1_Laughney_2020_disease
UBE2L6,1_Laughney_2020_disease
DNPH1,1_Laughney_2020_disease
TFPT,1_Laughney_2020_disease
ENC1,1_Laughney_2020_disease
RCN1,1_Laughney_2020_disease
ANXA4,1_Laughney_2020_disease
CACNA2D4,1_Laughney_2020_disease
SMAD6,1_Laughney_2020_disease
HYAL2,1_Laughney_2020_disease
CD24,1_Laughney_2020_disease
BOLA3,1_Laughney_2020_disease
SNRPN,1_Laughney_2020_disease
FXYD3,1_Laughney_2020_disease
PDGFRA,1_Laughney_2020_disease
NAIP,1_Laughney_2020_disease
RFC4,1_Laughney_2020_disease
NFU1,1_Laughney_2020_disease
ASUN,1_Laughney_2020_disease
AGR2,1_Laughney_2020_disease
UROD,1_Laughney_2020_disease
TRAP1,1_Laughney_2020_disease
ZNF883,1_Laughney_2020_disease
LRRC25,1_Laughney_2020_disease
MGST2,1_Laughney_2020_disease
CXCL17,1_Laughney_2020_disease
GORAB,1_Laughney_2020_disease
BST2,1_Laughney_2020_disease
MT1G,2_Laughney_2020_disease
MT1H,2_Laughney_2020_disease
CCL2,2_Laughney_2020_disease
SPP1,2_Laughney_2020_disease
MT1X,2_Laughney_2020_disease
MT1E,2_Laughney_2020_disease
CCL7,2_Laughney_2020_disease
MT1M,2_Laughney_2020_disease
CXCL5,2_Laughney_2020_disease
MT1F,2_Laughney_2020_disease
MT1A,2_Laughney_2020_disease
INHBA,2_Laughney_2020_disease
HSD11B1,2_Laughney_2020_disease
DEFB1,2_Laughney_2020_disease
CSF1,2_Laughney_2020_disease
SDC2,2_Laughney_2020_disease
TM4SF19,2_Laughney_2020_disease
FBP1,2_Laughney_2020_disease
TGM2,2_Laughney_2020_disease
LPL,2_Laughney_2020_disease
METTL7B,2_Laughney_2020_disease
MATK,2_Laughney_2020_disease
EMP1,2_Laughney_2020_disease
SPOCD1,2_Laughney_2020_disease
ANGPTL4,2_Laughney_2020_disease
CLEC5A,2_Laughney_2020_disease
CSTB,2_Laughney_2020_disease
OTOA,2_Laughney_2020_disease
FCER2,2_Laughney_2020_disease
TNNT1,2_Laughney_2020_disease
SERPINE1,2_Laughney_2020_disease
TOMM40,2_Laughney_2020_disease
CST6,2_Laughney_2020_disease
JAKMIP2,2_Laughney_2020_disease
SLC16A10,2_Laughney_2020_disease
CRIP2,2_Laughney_2020_disease
PDPN,2_Laughney_2020_disease
CYP27B1,2_Laughney_2020_disease
HTRA4,2_Laughney_2020_disease
CA12,2_Laughney_2020_disease
KCNN4,2_Laughney_2020_disease
TNFRSF12A,2_Laughney_2020_disease
PRKCDBP,2_Laughney_2020_disease
TRIB3,2_Laughney_2020_disease
SLC28A3,2_Laughney_2020_disease
HAGHL,2_Laughney_2020_disease
CLEC4G,2_Laughney_2020_disease
SPHK1,2_Laughney_2020_disease
SLAMF9,2_Laughney_2020_disease
NT5E,2_Laughney_2020_disease
CLDN23,2_Laughney_2020_disease
BNIP3,2_Laughney_2020_disease
NRIP3,2_Laughney_2020_disease
IL27,2_Laughney_2020_disease
MFSD12,2_Laughney_2020_disease
HSD3B7,2_Laughney_2020_disease
RAI14,2_Laughney_2020_disease
MCOLN3,2_Laughney_2020_disease
PRKAR1B,2_Laughney_2020_disease
ANKRD29,2_Laughney_2020_disease
FAM20C,2_Laughney_2020_disease
SLC12A8,2_Laughney_2020_disease
MFSD7,2_Laughney_2020_disease
CD276,2_Laughney_2020_disease
SMOX,2_Laughney_2020_disease
CCR5,2_Laughney_2020_disease
ADORA2B,2_Laughney_2020_disease
SEMA3C,2_Laughney_2020_disease
SPR,2_Laughney_2020_disease
AK4,2_Laughney_2020_disease
TNS1,2_Laughney_2020_disease
COX7A1,2_Laughney_2020_disease
HK2,2_Laughney_2020_disease
FAM101B,2_Laughney_2020_disease
METTL1,2_Laughney_2020_disease
CKAP4,2_Laughney_2020_disease
MSANTD3,2_Laughney_2020_disease
MITF,2_Laughney_2020_disease
HRH1,2_Laughney_2020_disease
ANXA4,2_Laughney_2020_disease
NME1,2_Laughney_2020_disease
BCAT1,2_Laughney_2020_disease
LAT,2_Laughney_2020_disease
MFHAS1,2_Laughney_2020_disease
CD109,2_Laughney_2020_disease
KIFC3,2_Laughney_2020_disease
TNS3,2_Laughney_2020_disease
MT3,2_Laughney_2020_disease
NPC1,2_Laughney_2020_disease
TMEM45A,2_Laughney_2020_disease
FAM129B,2_Laughney_2020_disease
CLEC6A,2_Laughney_2020_disease
TMEM158,2_Laughney_2020_disease
RGS17,2_Laughney_2020_disease
THRA,2_Laughney_2020_disease
FCRLB,2_Laughney_2020_disease
FAHD1,2_Laughney_2020_disease
TRIM7,2_Laughney_2020_disease
ZFYVE28,2_Laughney_2020_disease
CCL4,3_Laughney_2020_disease
CCL4L2,3_Laughney_2020_disease
CCL3L3,3_Laughney_2020_disease
CCL3,3_Laughney_2020_disease
CXCL8,3_Laughney_2020_disease
TNFAIP6,3_Laughney_2020_disease
SOD2,3_Laughney_2020_disease
GBP5,3_Laughney_2020_disease
IL23A,3_Laughney_2020_disease
GADD45G,3_Laughney_2020_disease
HCAR3,3_Laughney_2020_disease
DDIT3,3_Laughney_2020_disease
RARRES3,3_Laughney_2020_disease
NINJ1,3_Laughney_2020_disease
CDC42EP3,3_Laughney_2020_disease
CD300A,3_Laughney_2020_disease
ZC3H12A,3_Laughney_2020_disease
GK,3_Laughney_2020_disease
HIF1A,3_Laughney_2020_disease
BHLHE40,3_Laughney_2020_disease
PLK3,3_Laughney_2020_disease
LINC00309,3_Laughney_2020_disease
CDCA7L,3_Laughney_2020_disease
PAG1,3_Laughney_2020_disease
CLEC4A,3_Laughney_2020_disease
FCGR3B,3_Laughney_2020_disease
GCC2,3_Laughney_2020_disease
FAM60A,3_Laughney_2020_disease
CCNF,3_Laughney_2020_disease
BCL2L1,3_Laughney_2020_disease
TACC3,3_Laughney_2020_disease
SGTB,3_Laughney_2020_disease
HIST1H2AL,3_Laughney_2020_disease
LINC00528,3_Laughney_2020_disease
CNN2,3_Laughney_2020_disease
CREBRF,3_Laughney_2020_disease
CD58,3_Laughney_2020_disease
CCL22,4_Laughney_2020_disease
CCR7,4_Laughney_2020_disease
IDO1,4_Laughney_2020_disease
CD1E,4_Laughney_2020_disease
CST7,4_Laughney_2020_disease
BIRC3,4_Laughney_2020_disease
FSCN1,4_Laughney_2020_disease
CCL19,4_Laughney_2020_disease
MARCKSL1,4_Laughney_2020_disease
LAMP3,4_Laughney_2020_disease
DUSP4,4_Laughney_2020_disease
IL32,4_Laughney_2020_disease
EBI3,4_Laughney_2020_disease
IL7R,4_Laughney_2020_disease
BCL2L14,4_Laughney_2020_disease
PMAIP1,4_Laughney_2020_disease
GADD45A,4_Laughney_2020_disease
UBD,4_Laughney_2020_disease
TNFRSF18,4_Laughney_2020_disease
MGLL,4_Laughney_2020_disease
GPC4,4_Laughney_2020_disease
TRAF1,4_Laughney_2020_disease
GCSAM,4_Laughney_2020_disease
CLU,4_Laughney_2020_disease
TNFRSF9,4_Laughney_2020_disease
DUSP5,4_Laughney_2020_disease
GPR157,4_Laughney_2020_disease
FLT3,4_Laughney_2020_disease
TVP23A,4_Laughney_2020_disease
CYP27B1,4_Laughney_2020_disease
RASSF4,4_Laughney_2020_disease
TBC1D4,4_Laughney_2020_disease
NRP2,4_Laughney_2020_disease
LIMCH1,4_Laughney_2020_disease
CD274,4_Laughney_2020_disease
CCNA1,4_Laughney_2020_disease
TIFAB,4_Laughney_2020_disease
DAPP1,4_Laughney_2020_disease
SLAMF1,4_Laughney_2020_disease
HOPX,4_Laughney_2020_disease
PTGIR,4_Laughney_2020_disease
CLIC2,4_Laughney_2020_disease
PSD3,4_Laughney_2020_disease
ANKRD33B,4_Laughney_2020_disease
RFTN1,4_Laughney_2020_disease
NDN,4_Laughney_2020_disease
CAV1,4_Laughney_2020_disease
TNFRSF11A,4_Laughney_2020_disease
SSTR2,4_Laughney_2020_disease
HOMER2,4_Laughney_2020_disease
GBP7,4_Laughney_2020_disease
TREML1,4_Laughney_2020_disease
ARAP2,4_Laughney_2020_disease
PDCD1LG2,4_Laughney_2020_disease
KIF2A,4_Laughney_2020_disease
PLEKHA5,4_Laughney_2020_disease
H2AFY2,4_Laughney_2020_disease
SMOC1,4_Laughney_2020_disease
TBC1D8,4_Laughney_2020_disease
CLCF1,4_Laughney_2020_disease
EPDR1,4_Laughney_2020_disease
NAV1,4_Laughney_2020_disease
EFNB2,4_Laughney_2020_disease
NUAK2,4_Laughney_2020_disease
KLF5,4_Laughney_2020_disease
NMRK1,4_Laughney_2020_disease
LY75,4_Laughney_2020_disease
MMP25,4_Laughney_2020_disease
PSEN2,4_Laughney_2020_disease
SLC22A23,4_Laughney_2020_disease
TRIP10,4_Laughney_2020_disease
RGS17,4_Laughney_2020_disease
AUTS2,4_Laughney_2020_disease
KLHDC7B,4_Laughney_2020_disease
IL15,4_Laughney_2020_disease
RAB9A,4_Laughney_2020_disease
CLDN12,4_Laughney_2020_disease
POGLUT1,4_Laughney_2020_disease
LMOD3,4_Laughney_2020_disease
FANCD2,4_Laughney_2020_disease
SEPP1,5_Laughney_2020_disease
PLTP,5_Laughney_2020_disease
FOLR2,5_Laughney_2020_disease
IFIT2,5_Laughney_2020_disease
PDK4,5_Laughney_2020_disease
RSAD2,5_Laughney_2020_disease
LYVE1,5_Laughney_2020_disease
HPGDS,5_Laughney_2020_disease
SFTPB,5_Laughney_2020_disease
STAB1,5_Laughney_2020_disease
MYC,5_Laughney_2020_disease
LILRB5,5_Laughney_2020_disease
GIMAP7,5_Laughney_2020_disease
MMP2,5_Laughney_2020_disease
OLFML2B,5_Laughney_2020_disease
SIGLEC1,5_Laughney_2020_disease
HDAC9,5_Laughney_2020_disease
NRP1,5_Laughney_2020_disease
ARHGAP24,5_Laughney_2020_disease
MAF,5_Laughney_2020_disease
DDB2,5_Laughney_2020_disease
SP140,5_Laughney_2020_disease
DTNA,5_Laughney_2020_disease
SESN1,5_Laughney_2020_disease
HHEX,5_Laughney_2020_disease
GFOD1,5_Laughney_2020_disease
PTGR1,5_Laughney_2020_disease
PDE4C,5_Laughney_2020_disease
MAP1LC3A,5_Laughney_2020_disease
HGF,5_Laughney_2020_disease
DEPTOR,5_Laughney_2020_disease
ECHDC2,5_Laughney_2020_disease
PRRG4,5_Laughney_2020_disease
SLC9A9,5_Laughney_2020_disease
RFC2,5_Laughney_2020_disease
JADE1,5_Laughney_2020_disease
CR1,5_Laughney_2020_disease
AMDHD2,5_Laughney_2020_disease
BLM,5_Laughney_2020_disease
C5orf56,5_Laughney_2020_disease
TP53I11,5_Laughney_2020_disease
ARSA,5_Laughney_2020_disease
PNPLA2,5_Laughney_2020_disease
HSDL2,5_Laughney_2020_disease
PTGDS,6_Laughney_2020_disease
GZMB,6_Laughney_2020_disease
AREG,6_Laughney_2020_disease
JCHAIN,6_Laughney_2020_disease
PLAC8,6_Laughney_2020_disease
SPIB,6_Laughney_2020_disease
GPR183,6_Laughney_2020_disease
C12orf75,6_Laughney_2020_disease
SOX4,6_Laughney_2020_disease
PLD4,6_Laughney_2020_disease
EDN1,6_Laughney_2020_disease
IRF4,6_Laughney_2020_disease
TSPAN13,6_Laughney_2020_disease
MZB1,6_Laughney_2020_disease
DERL3,6_Laughney_2020_disease
CLIC3,6_Laughney_2020_disease
LILRA4,6_Laughney_2020_disease
RASD1,6_Laughney_2020_disease
EGLN3,6_Laughney_2020_disease
IL3RA,6_Laughney_2020_disease
TPM2,6_Laughney_2020_disease
ITM2C,6_Laughney_2020_disease
MYBL2,6_Laughney_2020_disease
SPON2,6_Laughney_2020_disease
LY9,6_Laughney_2020_disease
PROC,6_Laughney_2020_disease
HIST1H1C,6_Laughney_2020_disease
LAMP5,6_Laughney_2020_disease
FADS1,6_Laughney_2020_disease
TNFSF4,6_Laughney_2020_disease
